"URL","ASIN","Title","Brand","Fulfillment","Category","BSR","Subcategory","Price","Price Trend (90 days) (%)","Monthly Sales","Sales Trend (90 days) (%)","Monthly Revenue","Review Count","Reviews Rating","Seller","Number of Active Sellers","Last Year Sales","Sales Year Over Year (%)","Size Tier","Width","Height","Length","Weight","Storage Fee (Jan - Sep)","Storage Fee (Oct - Dec)","Best Sales Period","Age (Month)","Number of Images","Variation Count","Sales to Reviews"
"https://amazon.com/dp/B08GKMFVC4","B08GKMFVC4","XYSQ Decorative Door Stopper, Pure Copper Magnetic Door Catch, Door Stop is Equipped with Powerful Magnets Windproof and Durable, Door Stopper Fits Standard Door Gaps (Color : Rose Gold)","XYSQ","FBM","Office Products",989321,"Door Stops",68.83,"N/A",0,,0,"N/A","N/A","YINLIAN-AUS-HOME",1,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","-",3,7,3,"N/A"
"https://amazon.com/dp/B091Y85DJW","B091Y85DJW","GREENCYCLE 1 Pack Compatible for Brother P Touch TZe-131 AZE 131 TZ131 TZ-131 1/2"" 12mm 0.47 inch Laminated Black on Clear TZ TZe Tapes Used in PTD210 PT-D200 PTD600 D400 PTH110 Label Makers","greencycle","FBM","Office Products",673161,"Labeling Tapes",9.59,"N/A",0,-33,0,50,4.4,"Quicktoner",1,3,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","01/01/2023",24,7,6,0
"https://amazon.com/dp/B091FF1V1S","B091FF1V1S","Gdrasuya10 63.5x20x13.5cm DIY Office Wood Desk Organizer File Storage Monitor Stand Riser Desktop Tray with Lock Drawer for Laptop Desktop Computer Printer Cellphone Burlywood","Gdrasuya10","FBM","Office Products",982480,"Home Office Desks",47,"N/A",0,0,0,1,1,"Faithe Cecillia",1,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","-",24,9,2,0
"https://amazon.com/dp/B00FYS4MMK","B00FYS4MMK","JAM PAPER Blank Greeting Cards Set with Envelopes - A2-4 3/8 x 5 3/4 - Pastel Baby Blue - 25/Pack","JAM Paper","FBM","Office Products",489834,"Stationery",16.99,20,1,250,16.99,17,4.5,"JAM Paper & Envelope",1,13,550,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","02/01/2023",75,3,120,0.06
"https://amazon.com/dp/B0B74NVDWH","B0B74NVDWH","Rainbow Unicorn and Flowers Expanding File Folder with Sticky Labels, 13 Pockets Accordion File Folder Document Organizer Expandable Zip File Folder with Zipper Closure","linqin","FBM","Office Products",410576,"Expanding Files & Wallets",13.99,"N/A",1,0,13.99,"N/A","N/A","YQJS",1,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","09/01/2022",8,6,18,"N/A"
"https://amazon.com/dp/B09J2NVL8B","B09J2NVL8B","MSDADA 2Pcs Desk Book Stand Holder for Reading, Adjustable Cookbook Stand Heavy Duty Metal Reading Stand for Textbooks Recipes Music Books Tablet (Light Blue+Milky White)","MSDADA","FBA","Office Products",59089,"Book Stands",18.99,"N/A",91,298,1728.09,88,4.6,"Master-Ed",1,780,"N/A","Large Standard-Size",7.992125984252,8.8976377952756,1.1023622047244,1.8963,31.301612526672,108.87517400581565,"10/01/2021",14,7,31,1.03
"https://amazon.com/dp/B09YLTVK8Q","B09YLTVK8Q","Greenery Save The Date Cards for Wedding, Bridesmaid Proposal Calendar Cards for Engagement, Bridal Shower, Anniversary, Birthday, November 2023 Bridesmaid Calendar Gift Box Cards, Set of 20","OZTEMETY","FBA","Office Products",246239,"Cards",9.99,-11,5,69,49.95,"N/A","N/A","OZTEMETY",1,"N/A","N/A","Small Standard-Size",4.02,4.02,0.28,0.14994,1.8068224999999996,6.284599999999999,"10/01/2022",10,5,0,"N/A"
"https://amazon.com/dp/B092W6V919","B092W6V919","Lock Box Door Guard with Strap (Light Grey - 2 Pack)","Calendars & More, Inc.","FBM","Office Products",202598,"Safes & Safe Accessories",9.95,"N/A",4,0,39.8,6,4.8,"Real Estate Supply Store",1,42,-22,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","03/01/2022",22,1,8,0.67
"https://amazon.com/dp/B09XQP3QK6","B09XQP3QK6","24 Pcs construction Mini Notepads,construction Notebooks ,construction Themed Decorations for Birthday Party Favor Supplies Teacher and Classroom Reward, 30 sheets/notebook","LSTAMOY","FBA","Office Products",351924,"Spiral Notebooks",10.99,"N/A",3,0,32.97,2,5,"ZHIENZHEN STORE-US",1,"N/A","N/A","Large Standard-Size",5.1181102362205,5.3937007874016,1.8897637795276,0.82026,20.830963577938313,72.45552548848109,"01/01/2023",11,7,0,1.5
"https://amazon.com/dp/B09J8S4NCN","B09J8S4NCN","Wireless Paging System for Restaurant Waiter Serivce Queue Number Call Wireless Calling System for for Restaurant Church Food Truck Coffee Shop Office (10 pagers+1caller)","QMTWTFSS","FBA","Office Products",427844,"Pagers",129,"N/A",2,0,258,"N/A","N/A","i-remote",1,"N/A","N/A","Large Standard-Size",6.85,8.27,4.49,2.141055,101.56586571180554,353.27257638888887,"10/01/2022",13,5,2,"N/A"
