ASIN,Title,Brand,Fulfillment,Category,Subcategory,Price,Monthly Sales,Sales Trend (90 days) (%),Monthly Revenue,Review Count,Reviews Rating,Seller,Number of Active Sellers,Sales Year Over Year (%),Storage Fee (Jan - Sep),Storage Fee (Oct - Dec),Best Sales Period,Age (Month),Number of Images
B0B5Y6ZQTX,"HTVRONT Chameleon HTV Vinyl Rolls Heat Transfer Vinyl - 12"" x 8ft Gradient Change Color Iron on Vinyl for Cricut & Cameo - Easy to Cut & Weed for Heat Vinyl Design (Bright White to Green)",HTVRONT,FBA,"Arts, Crafts & Sewing",Heat Transfer Film,12.99,31002,22.0,402715.98,32572.0,4.6,Dema store,1,,9.185965208333332,31.951183333333333,10/01/2022,7,7.0
B0B3MGK23J,"Fengbay 3 Pack Fleece Lined Yoga Pants Women, Pocket Yoga Pants Tummy Control Workout Running 4 Way Stretch Yoga Fleece Lined Leggings",Fengbay,FBA,"Clothing, Shoes & Jewelry",Leggings,33.99,28266,-13.0,960761.34,38140.0,4.7,Fengbay Yoga,1,29.0,259.23001,901.6696,01/01/2023,7,7.0
B0BPL9MGPD,"Master Lock Door Security Bar, Home Security Door Stopper, Adjustable from 27-1/2 in. to 42 in., 265EC & Addalock The Original Portable Door Lock by Rishon Enterprises Inc.",Master Lock,-,Tools & Home Improvement,Screen Door Hardware,38.59,26220,79.0,1011829.8,41087.0,4.6,,1,,,,08/01/2022,639,7.0
B08HFW4VY4,"HALO 100% Cotton Sleepsack Swaddle, 3-Way Adjustable Wearable Blanket, TOG 1.5, Wildflower, Newborn, 0-3 Months",HALO,FBM,Baby Products,Swaddling Blankets,29.99,26044,3.0,781059.56,30979.0,4.7,Best Junction Price,1,5.0,,,10/01/2022,29,4.0
B0BQJV3PJZ,"Javy Coffee 30X Cold Brew Coffee Concentrate, Perfect for Instant Iced Coffee, Cold Brewed Coffee and Hot Coffee.",Javy Coffee,FBM,Grocery & Gourmet Food,Cold-Brew Coffee & Concentrate,49.95,17390,14.0,868630.5,26049.0,4.5,Javy Coffee Co,1,,,,01/01/2023,4,1.0
B0B63QFQLK,YEOREO Womens Amplify Leggings High Waisted Seamless Scrunch Legging Active Running Yoga Pant,YEOREO,FBA,"Clothing, Shoes & Jewelry",Leggings,27.99,17159,131.0,480280.41,1294.0,4.2,YEOREO,1,,66.22150895833332,230.3356833333333,01/01/2023,8,5.0
B0BHHCDRFB,"Babygoal Sea Pacifier Clips, 6 Pack Binky Paci Holder and Leash for Boys and Girls Fits for Most Pacifier, Binkie Styles & Baby Teethers & Toys and Gift 6PB22",babygoal,FBA,Baby Products,Pacifier Accessories,7.99,16765,15.0,133952.35,17606.0,4.7,babygoal,1,,9.645870173611108,33.55085277777777,10/01/2022,5,9.0
B096KTV5QP,"SPICE TRAIN, Organic Turmeric Powder (397g/14oz) Made from Turmeric Root | Raw Turmeric Powdered Organic from India | Curcumin",SPICE TRAIN,FBA,Grocery & Gourmet Food,Herbal,11.99,16596,-54.0,198986.04,4967.0,4.6,Vahdam Tea,1,,30.225197239583323,105.13112083333333,01/01/2023,20,8.0
B08R86NDN6,"HTVRONT HTV Vinyl Rolls Heat Transfer Vinyl - 12"" x 15ft Rose Red HTV Vinyl for Shirts, Iron on Vinyl for All Cutter Machine - Easy to Cut & Weed for Heat Vinyl Design (Rose Red)",HTVRONT,FBA,"Arts, Crafts & Sewing",Heat Transfer Film,13.99,16189,,226484.11,15582.0,4.7,Dema store,1,,29.96184444444444,104.21511111111111,01/01/2023,26,7.0
B09RZR6D6H,"Hudson Baby Unisex Baby Plush Sleeping Bag, Sack, Blanket, Boy Farm Animals, 18-24 Months",Hudson Baby,Amazon,Baby Products,Sleeping Bags,17.99,15042,-19.0,270605.58,21435.0,4.8,Amazon,1,16.0,,,10/01/2022,13,2.0
B098YZT5HW,"Epic MMA Gear Flowy Racerback Tank Top, Regular and Plus Sizes Pack of 3 (XL, Blk/Blue/Dali)",Epic MMA Gear,FBA,"Clothing, Shoes & Jewelry",Tanks & Camis,29.99,13956,0.0,418540.44,27717.0,4.4,Epic MMA Gear,1,124.0,21.02223958333333,73.12083333333334,05/01/2022,7,2.0
B0B7PXX3FL,"SKITTLES Original Chewy Candy, Party Size, 50 oz Bag SKITTLES Wild Berry Fruity Candy 50-Ounce Party Size Pouch",Skittles,Amazon,Grocery & Gourmet Food,Hard Candy,25.18,11983,43.0,301731.94,9644.0,4.7,Amazon,1,,,,01/01/2023,7,1.0
B08H7SFJVV,ANYLUV Blue Light Blocking Glasses for Women Men-Computer Gaming/Reading/TV/Phones Glasses - Low Color Distortion(2 pack),ANYLUV,FBA,Health & Household,Blue Light Blocking Glasses,9.99,11930,27.0,119180.7,12608.0,4.3,ANYLUV,1,,11.949218749999998,41.56249999999999,01/01/2023,31,6.0
B09Z75GC97,"Medela Women's 3 in 1 Nursing & Pumping Bra, Chai, X-Large",Medela,Amazon,Baby Products,Electric,25.99,9937,50.0,258262.63,11983.0,4.3,Amazon,1,,,,02/01/2023,11,6.0
