URL,ASIN,Title,Brand,Fulfillment,Category,BSR,Subcategory,Price,Price Trend (90 days) (%),Monthly Sales,Sales Trend (90 days) (%),Monthly Revenue,Review Count,Reviews Rating,Seller,Number of Active Sellers,Last Year Sales,Sales Year Over Year (%),Size Tier,Width,Height,Length,Weight,Storage Fee (Jan - Sep),Storage Fee (Oct - Dec),Best Sales Period,Age (Month),Number of Images,Variation Count,Sales to Reviews
https://amazon.com/dp/B09R9L8LBT,B09R9L8LBT,"Two Movable/Adjustable Washing Machine Base, Washing Machine Stand With Brake Lifter, Refrigerator Base Mobile Cart,Suitable for Refrigerator Base, Dryer Base, Furniture Movers (Silver)",MayLove-US,FBA,Appliances,2626,Stacked Washer & Dryer Units,27.99,11.0,28,107.0,783.72,7.0,4.0,MayLove-US,1,178.0,,Small Oversize,5.71,19.69,2.91,3.84111,90.88083583333334,227.20208958333333,02/01/2023,14,7.0,3,4.0
https://amazon.com/dp/B08C4TDH37,B08C4TDH37,"LJMG Outdoor Refrigerators Car Mini Retro Refrigerator 13L,Bedrooms Mini Fridge Freezer,Mute Compact Fridge 12V DC /220V AC,Fruit Cold Storage,Energy Saving,Skincare & Cosmetic",LJMG,FBM,Appliances,19690,Refrigerators,360.88,-6.0,0,0.0,0.0,,,GVSSE,1,,,,13.779527559055,17.716535433071,13.779527559055,,,,-,26,7.0,2,
https://amazon.com/dp/B091MGMJGH,B091MGMJGH,"WHS507FWESS1 28"" Convertible Upright Freezer with 13.8 cu. ft. Capacity, Energy Star, Automatic Defrost, Interior Lighting, in Stainless Steel",Deals,FBM,Appliances,9483,Upright Freezers,800.0,,0,0.0,0.0,2.0,4.5,CyberSavings,4,2.0,,,,,,,,,12/01/2021,24,2.0,0,0.0
https://amazon.com/dp/B0BQTZ81ZV,B0BQTZ81ZV,"Twin Tub with Built-in Drain Pump 26Lbs Semi-automatic Twin Tube Washing Machine for Apartment, Dorms, RVs, Camping and More, White&Black US Standard",fonhunt,FBM,Appliances,6209,Portable Washers,239.99,-16.0,2,,479.98,,,Caredocmall,1,,,,,,,,,,03/01/2023,3,8.0,0,
https://amazon.com/dp/B09PMHN35H,B09PMHN35H,"3.0 Cu.Ft Compact Refrigerator with 2 Doors, Mini Fridge with Freezer, 37dB Quiet, 7-Settings Mechanical Thermostat, LED Lights, Small Refrigerator for Bedroom Office, Dorm or Garage, Black",Frestec,FBM,Appliances,403,Refrigerators,179.99,-14.0,142,-19.0,25558.58,145.0,4.3,KLYVOTEK,1,2252.0,,,,,,,,,11/01/2022,15,7.0,6,0.98
https://amazon.com/dp/B08T5PXB3B,B08T5PXB3B,"GE® 24"" 2.4 cu. ft.Capacity Front Load Washer/Condenser Dryer Combo",GE APPLIANCES,-,Appliances,13756,Washers,1977.88,-4.0,0,0.0,0.0,,,,1,,,,,,,,,,07/01/2022,21,7.0,0,
https://amazon.com/dp/B09X9GHJTW,B09X9GHJTW,"Hamilton Beach HBFR7500, 2 Door Apartment Size Retro Refrigerator with Top Freezer, 7.5 cu ft, Stainless",Hamilton Beach,Amazon,Appliances,5083,Refrigerators,804.71,-21.0,8,0.0,6437.68,3.0,3.3,Amazon,1,,,Special Oversize,23.0,55.0,23.0,80.012835,,,10/01/2022,10,4.0,0,2.67
https://amazon.com/dp/B0BS3P66KL,B0BS3P66KL,"Mini Washing Machine Portable Turbine Washer,Portable Washing Machine with USB and Speed Control for Travel Business Trip or College Rooms (Washer)",DESVET,FBA,Appliances,2869,Portable Washers,20.99,-63.0,44,,923.56,10.0,1.7,合肥宽怼商贸有限公司,1,,,Large Standard-Size,5.24,6.57,2.64,0.63945,36.291585,126.2316,02/01/2023,3,5.0,0,4.4
https://amazon.com/dp/B09LYHNQZ7,B09LYHNQZ7,"Gevi Household Countertop Ice Maker Machine, 2 Ice Sizes Optional, 9 Pcs in 6-8 Mins, 26Lbs/Day, Self Cleaning, Portable Compact Mini Icemaker with Ice Scoop and Basket for Home Party Kitchen (White)",Gevi Household,FBA,Appliances,996,Ice Makers,134.99,,55,-41.0,7424.45,604.0,4.4,Gevi Household,1,,,Small Oversize,13.0,14.8,10.6,18.652095,566.5111111111111,1416.2777777777778,12/01/2022,15,7.0,3,0.09
https://amazon.com/dp/B0B2W7L6WV,B0B2W7L6WV,"Portable Washing Machine - Mini Washing Machine with Drain Basket & 3 Mesh Laundry Bags, Portable Washer for Underwear, Bra, Baby Clothes, Socks, Stockings,Chinese Plug (Requires Additional Converter)",HOYTAMDAR,FBA,Appliances,8122,Portable Washers,149.99,,0,100.0,0.0,1.0,1.0,HOYTAMDAR-US,1,,,Small Oversize,15.25,15.5,8.25,7.000875,541.6927083333333,1354.2317708333333,08/01/2022,9,9.0,0,0.0
