"URL","ASIN","Title","Brand","Fulfillment","Category","BSR","Subcategory","Price","Price Trend (90 days) (%)","Monthly Sales","Sales Trend (90 days) (%)","Monthly Revenue","Review Count","Reviews Rating","Seller","Number of Active Sellers","Last Year Sales","Sales Year Over Year (%)","Size Tier","Width","Height","Length","Weight","Storage Fee (Jan - Sep)","Storage Fee (Oct - Dec)","Best Sales Period","Age (Month)","Number of Images","Variation Count","Sales to Reviews"
"https://amazon.com/dp/B09VZ3LMTC","B09VZ3LMTC","Christmas Fabric Winter Greetings Santa Snowman Bear Patch StudioE YARD for quilting, crafting, and fashion by Alina Natetkova","Studio E","FBM","Arts, Crafts & Sewing",1458350,"Fabric",46.85,9,0,0,0,"N/A","N/A","Beauty expert #1",1,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","04/01/2022",13,4,0,"N/A"
"https://amazon.com/dp/B09VXFS3GT","B09VXFS3GT","Hlotmeky Fishing Net Rubber Landing Net Large Fishing Nets for Saltwater Kayak Folding Fishing Net Long Handle","Hlotmeky","FBA","Sports & Outdoors",108034,"Nets",52.99,"N/A",86,4,4557.14,25,4.4,"Halibuts",1,723,"N/A","Small Oversize",19.6,22.87,3.66,1.79046,455.72286666666673,1139.307166666667,"08/01/2022",12,6,3,3.44
"https://amazon.com/dp/B08VCYHMP9","B08VCYHMP9","Briana Bible Prayer Journal: Personalized Name Engraved Bible Journaling Christian Notebook for Teens, Girls and Women with Bible Verses and Prompts ... Prayer, Reflection, Scripture and Devotional.","N/A","Amazon","Books",6699207,"Bibles",3.52,-14,0,0,0,3,4.2,"Amazon",3,1,0,"Small Standard-Size",0.28,9,6,0.53,"N/A","N/A","05/01/2022",27,2,0,0
"https://amazon.com/dp/B09ZJ5V6B9","B09ZJ5V6B9","Ngnljgc 2022 New Hand-Painted Stained Glass Creative Whiskey Glass Rum Crystal Glass Vodka Glass Lead-Free Clear Glass Drink Glass Creative Beer and Red Wine Glass Artwork & Gift (D)","Ngnljgc","FBM","Kitchen & Dining",1261315,"Wine Glasses",25,"N/A",0,0,0,"N/A","N/A","ZLHstore",1,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","08/01/2022",12,4,4,"N/A"
"https://amazon.com/dp/B09TH78XCC","B09TH78XCC","MOKALALA 200 Pcs Honeysuckle Seeds | Non-GMO | Goldflame Honeysuckle Vine, Fresh Garden Seeds, Gardeners Choice!","MOKALALA","FBA","Patio, Lawn & Garden",67416,"Vines",6.99,"N/A",117,-53,817.83,32,2.9,"MOKALALA Direct",1,747,"N/A","Small Standard-Size",2.73,3.77,0.23,0.03087,0.9452293229166666,3.2877541666666663,"03/01/2023",12,1,0,3.66
"https://amazon.com/dp/B09TH6XY47","B09TH6XY47","MOKALALA 100 Pcs Non-GMO Jicama Seeds Heirloom Mexican Yam Bean Mexican Turnip Seeds Mexican Turnip Seeds Fresh Garden Seeds","MOKALALA","FBA","Patio, Lawn & Garden",193710,"Vegetables",8.99,"N/A",57,-77,512.43,11,3.1,"MOKALALA Direct",1,644,"N/A","Small Standard-Size",3.4251968503937,4.5669291338583,0.51181102362205,0.041895,3.196868680482806,11.119543236461935,"03/01/2023",12,7,0,5.18
"https://amazon.com/dp/B09XH4QC6N","B09XH4QC6N","ODODOS Women's 5"" Crossover Yoga Shorts with Inner Pocket, High Waist Sports Athletic Workout Running Biker Shorts, Tie Dye Dark Beige, Large","ODODOS","FBA","Clothing, Shoes & Jewelry",7284,"Shorts",18.98,"N/A",2089,1159,0,1294,4.5,"ODODOS",1,"N/A","N/A","Large Standard-Size",4.5,11,1.1,0.441,21.742187499999996,75.62499999999999,"04/01/2023",12,6,361,1.61
"https://amazon.com/dp/B004O784VC","B004O784VC","PANTONE Smart 19-4305X Color Swatch Card, Pirate Black","Pantone","FBM","Tools & Home Improvement",931017,"Interior & Exterior House Paint",15.04,"N/A",0,-100,0,1,5,"Hyatt's All Things Creative",1,10,-38,"Large Standard-Size",5.2,0.2,5.6,1.6,"N/A","N/A","04/01/2022",108,1,27,0
"https://amazon.com/dp/B09JBYN3YM","B09JBYN3YM","Blueberry Style 2022 New Cerise Pink Dog Waste Bag Dispenser, Solid Color Trash Bag Dispenser with 2 Auto Locking Zipper, Dog Poop Bag Holder Leash Attachment, Includes 1 Roll of Free Poop Bags","Blueberry Pet","FBA","Pet Supplies",19830,"Bags",9.99,"N/A",416,-27,4155.84,44,4.3,"Blueberry Pet",1,6507,"N/A","Large Standard-Size",2.91,8.23,2.44,0.14994,23.33393604166666,81.16151666666666,"10/01/2022",16,5,20,9.45
"https://amazon.com/dp/B09XVCYVT9","B09XVCYVT9","lnmuld 3 Pcs Women's Nylon Underwear High Waisted Panties Full Coverage Underpants, Soft Stretch Ladies Briefs for Women Multicolor","lnmuld","FBM","Clothing, Shoes & Jewelry",8834095,"Briefs",9.19,"N/A",0,0,0,"N/A","N/A","aiying_mei",1,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","-",12,9,7,"N/A"
