"URL","ASIN","Title","Brand","Fulfillment","Category","BSR","Subcategory","Price","Price Trend (90 days) (%)","Monthly Sales","Sales Trend (90 days) (%)","Monthly Revenue","Review Count","Reviews Rating","Seller","Number of Active Sellers","Last Year Sales","Sales Year Over Year (%)","Size Tier","Width","Height","Length","Weight","Storage Fee (Jan - Sep)","Storage Fee (Oct - Dec)","Best Sales Period","Age (Month)","Number of Images","Variation Count","Sales to Reviews"
"https://amazon.com/dp/B08PG27PYL","B08PG27PYL","Iced Bling 1017 Hip Hop Pendant 5mm/18,20"",24"",30"" Stainless Steel Cuban Chain Necklace SRC52 (18)","Generic","FBM","Clothing, Shoes & Jewelry",4256616,"Necklaces",26.95,"N/A",0,0,0,4,3.9,"CRESCENDO SJ INC",1,9,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","06/01/2022",26,5,0,0
"https://amazon.com/dp/B08KKTNZNB","B08KKTNZNB","DALIX Chi Phi Greek Letters T-Shirt Men's Embroidered Fraternity Shirt Black","DALIX","FBM","Clothing, Shoes & Jewelry",3783884,"Men",24.99,"N/A",1,0,24.99,2,5,"DALIX USA",1,5,"N/A","Small Standard-Size",10,0.4,12,0.4,"N/A","N/A","05/01/2022",18,6,16,0.5
"https://amazon.com/dp/B08CTK4PF1","B08CTK4PF1","Roaman's Women's Plus Size Kate Tunic Big Shirt Button Down Tunic Shirt - 42 W, Black","Roaman's","FBM","Clothing, Shoes & Jewelry",517532,"Tunics",29.99,1,115,71,3445.4,485,3.9,"Roaman's",1,2042,-47,"Large Standard-Size",14,3,18,0.9,"N/A","N/A","03/01/2022",34,7,199,0.24
"https://amazon.com/dp/B09B9Z3YGC","B09B9Z3YGC","Hkeli Hydraulic Barber Chair Salon Chair Styling Chair Heavy Duty Swivel Hair Salon Leather Classic Shampoo Tattoo Spa Beauty Equipment for Hair Stylist Women Man (Black)","Hkeli","FBM","Beauty & Personal Care",1020727,"Tools & Accessories",99.99,2,0,0,0,1,1,"Hkeli",1,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","12/01/2021",21,7,2,0
"https://amazon.com/dp/B0925CV7CR","B0925CV7CR","Skechers Men's Expected-Avillo Driving Style Loafer, Chestnut, 10.5 Wide","Skechers","FBA","Clothing, Shoes & Jewelry",48685,"Loafers & Slip-Ons",42.95,-33,286,-137,12283.7,33935,4.6,"Orva Stores",2,131216,"N/A","Large Standard-Size",9.17,13.15,5.08,2.05065,244.60433715277773,850.7976944444443,"09/01/2022",23,7,69,0.01
"https://amazon.com/dp/B07Y88C9T3","B07Y88C9T3","DOBREVA Women's Lace Strapless Minimizer Bandeau Padded Wire Free Bra Black 36D","DOBREVA","FBM","Clothing, Shoes & Jewelry",1466498,"Everyday Bras",21.99,"N/A",5,0,109.95,71,4.1,"CRZ YOGA",1,48,-74,"Large Standard-Size",5.748031496063,12.51968503937,3.2677165354331,0.165375,"N/A","N/A","06/01/2021",43,4,48,0.07
"https://amazon.com/dp/B09LCRBDKK","B09LCRBDKK","FESOGO Christmas Santa Snowman Joyful Gallery Snow Snowflake Covered Winter Scene Decor Wall Art Painting Xmas Warm Holiday Wall Decor For Home Living Room Bedroom Office Poster UNFRAMED","FESOGO","FBM","Home & Kitchen",2113211,"Posters & Prints",24.95,"N/A",0,0,0,7,5,"NEW FSG",1,31,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","11/01/2022",18,6,36,0
"https://amazon.com/dp/B09KC8DXD8","B09KC8DXD8","TENTEMS Compatible with iPhone 13 Mini Case Collage Lil Peep Design Print TPU Pure Clear Soft Phone Case Cover","TENTEMS","FBA","Cell Phones & Accessories",212047,"Basic Cases",6,-30,7,110,42,14,4.5,"tobeto",1,78,"N/A","Large Standard-Size",4.41,7.83,1.54,0.03969,21.233736562500003,73.856475,"12/01/2022",19,3,4,0.5
"https://amazon.com/dp/B09BZ4DQYT","B09BZ4DQYT","CENGDADA Janet Jackson Rhythm Nation 1814 Ladies Casual Baseball Short-Sleeved T-Shirt Raglan Sleeve Round Neck Sports Shirt Black Large","CENGDADA","FBM","Clothing, Shoes & Jewelry",1156573,"Jerseys",15.48,2,21,-10,325.08,12,3.7,"滨州乔乔金商贸有限公司",1,327,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","08/01/2022",20,4,3,1.75
"https://amazon.com/dp/B07Z8TWFPY","B07Z8TWFPY","DOBREVA Women's Push Up Strapless Underwire T-Shirt Bra Support Half Cup Low Plunge Black 36C","DOBREVA","FBM","Clothing, Shoes & Jewelry",1620739,"Everyday Bras",23.99,"N/A",2,-43,47.98,50,3.5,"CRZ YOGA",1,57,-81,"Large Standard-Size",6.5,16.1,1.6,0.249165,"N/A","N/A","07/01/2021",23,6,36,0.04
"https://amazon.com/dp/B096LW534P","B096LW534P","Vionic Men's Forrest Trent Casual Sneaker-Supportive Walking Shoes That Include Three-Zone Comfort with Orthotic Insole Arch Support, Sneakers for Men, Active Sneakers Olive Nubuck 7 Medium US","Vionic","FBA","Clothing, Shoes & Jewelry",116494,"Walking",149.95,"N/A",150,41,22492.5,141,4.5,"Bayou Birkenstock",1,1531,49,"Large Standard-Size",8.1,12.5,4.6,2.20059,185.97656249999994,646.8749999999999,"04/01/2023",14,6,66,1.06
"https://amazon.com/dp/B09MVWT4CC","B09MVWT4CC","WHITIN Men's Extra Wide fit Casual Barefoot Sneakers Arch Support Low Drop Sole W81 Size 12.5W Minimus Lifting Minimalist Tennis Shoes Fashion Walking Lightweight Comfortable Male Dark Grey 46","WHITIN","FBA","Clothing, Shoes & Jewelry",2264,"Walking",41.99,"N/A",15487,-12,650299.13,2725,4.4,"WHITIN SNEAKER",1,151236,"N/A","Large Standard-Size",4.6,11.7,2.6,0.950355,55.87562499999999,194.34999999999997,"04/01/2023",17,6,64,5.9
